variant_name,aruco_source,image_mode,detection_mode,distance_filter,pose_source,samples_total,samples_with_tag,samples_used_train,samples_used_val,excluded_by_distance,excluded_by_reprojection,train_trans_mean,train_trans_median,train_trans_rms,train_trans_max,val_trans_mean,val_trans_median,val_trans_rms,val_trans_max,train_rot_mean,train_rot_median,train_rot_max,val_rot_mean,val_rot_median,val_rot_max,offsets_deg,runtime_safe,recommended_for_runtime,hand_eye_json,not_recommended_reason
raw_all,raw,raw,raw,all,tcp_pose,37,37,26,11,0,0,35.866495897986695,33.482726851263834,40.419981141914676,93.23201033364558,33.08613039046834,28.653665538223898,35.01635770496205,55.725272149037956,4.567778427018807,4.411026478636501,12.292493856268571,4.7934023541058615,4.266446262684129,10.43136147619324,,True,False,/home/yd/program/nyx/arx-difussion-deploy/umi-deploy/data_local/hand_eye_recalib_640/compare_variants_v3_tighten/raw_all.json,not selected
raw_250_350,raw,raw,raw,250_350,tcp_pose,37,37,25,11,1,0,36.35335932082947,31.91800539113528,40.87247098504435,89.30355186351905,32.63292641410285,29.391204072316178,34.24902401243184,51.9080647522224,4.538344992543661,4.347340003969254,11.860357127488959,4.702235454662905,4.545045113388827,9.997173207096735,,True,False,/home/yd/program/nyx/arx-difussion-deploy/umi-deploy/data_local/hand_eye_recalib_640/compare_variants_v3_tighten/raw_250_350.json,not selected
raw_300_350,raw,raw,raw,300_350,tcp_pose,37,37,14,6,17,0,43.66566459646076,39.032862431048514,46.34159971344673,83.34752944943385,37.26892465671008,35.89738566590967,38.70084276565415,56.40162300392079,5.259340765031828,4.085450278236239,12.29301630025513,5.403250095810974,5.66027469103764,7.853848639674324,,True,False,/home/yd/program/nyx/arx-difussion-deploy/umi-deploy/data_local/hand_eye_recalib_640/compare_variants_v3_tighten/raw_300_350.json,not selected
rectified_250_350,rectified,rectified,rectified,250_350,tcp_pose,37,37,25,11,1,0,36.59268318767848,32.132143262876305,41.224452156882315,91.93409543584488,32.40020426628442,27.541258187832756,33.85581466646896,48.528041183581244,4.559851115066281,4.378307264294128,12.079006724918298,4.5832264451515385,4.25701726612311,9.892477039345456,,True,False,/home/yd/program/nyx/arx-difussion-deploy/umi-deploy/data_local/hand_eye_recalib_640/compare_variants_v3_tighten/rectified_250_350.json,comparison variant; recommend only if validation hand-eye residual beats raw TCP variant
rectified_300_350,rectified,rectified,rectified,300_350,tcp_pose,37,37,14,6,17,0,43.81134315359366,38.5407392446856,46.696415849881724,82.21176541202264,37.25766100175124,36.07805260489438,38.646664980263296,54.34594245683671,5.328757542144944,4.299571635762687,12.166129169842314,5.374870271994522,5.784190571019574,7.839195986110707,,True,False,/home/yd/program/nyx/arx-difussion-deploy/umi-deploy/data_local/hand_eye_recalib_640/compare_variants_v3_tighten/rectified_300_350.json,comparison variant; recommend only if validation hand-eye residual beats raw TCP variant
offset_300_350_bound5,raw,raw,raw,300_350,joint_state_corrected_fk,37,37,14,6,17,0,32.389870864887655,25.628967017062912,35.067626704753415,57.77727203662173,18.51302264143344,15.761932407833697,21.403972169673864,37.17764715892666,6.841152181604747,7.205801839430566,9.73436922117256,6.164250987445396,7.332156878315338,9.370565643764616,"[3.276236, 5.0, -4.10864, -5.0, 1.310552, 3.93131]",False,False,/home/yd/program/nyx/arx-difussion-deploy/umi-deploy/data_local/hand_eye_recalib_640/compare_variants_v3_tighten/offset_300_350_bound5.json,diagnostic virtual joint offset variant; runtime TCP frame would not match
offset_250_350_bound5,raw,raw,raw,250_350,joint_state_corrected_fk,37,37,25,11,1,0,25.701006189661697,20.901425538523608,30.392585794960876,78.99573507280928,24.14711924722774,21.404640822251142,26.53808751219633,45.450569304815296,5.532048333060056,5.58919124547994,10.141308275008114,5.019687434736386,5.2831305927518155,7.89436736969678,"[2.741455, 4.397048, -1.712281, -5.0, 2.904289, 4.75494]",False,False,/home/yd/program/nyx/arx-difussion-deploy/umi-deploy/data_local/hand_eye_recalib_640/compare_variants_v3_tighten/offset_250_350_bound5.json,diagnostic virtual joint offset variant; runtime TCP frame would not match
rectified_offset_300_350_bound5,rectified,rectified,rectified,300_350,joint_state_corrected_fk,37,37,14,6,17,0,32.09874461969891,24.53502152909279,34.979703180723,59.99471593528934,18.240022435355982,14.743682106982138,20.990519044874226,38.43172870585581,6.916975500096302,7.447906335959939,9.648615082271622,6.047558101509773,7.256809266650826,9.39190586212192,"[2.783641, 5.0, -4.148955, -5.0, 1.525727, 1.833807]",False,False,/home/yd/program/nyx/arx-difussion-deploy/umi-deploy/data_local/hand_eye_recalib_640/compare_variants_v3_tighten/rectified_offset_300_350_bound5.json,diagnostic virtual joint offset variant; runtime TCP frame would not match
