combo_id	sample	trans_mm	rot_deg
6	6	650.679864	30.320949
6	7	701.010849	12.416084
6	8	669.734344	23.582347
6	9	761.365350	23.714063
6	10	709.219622	45.600994
6	11	743.553831	35.084690
6	12	627.618519	52.143936
6	13	638.367778	61.101460
6	14	339.809242	44.552738
6	15	501.163233	54.860621
6	16	435.555551	61.503546
6	17	318.171800	37.578709
6	18	431.145963	63.666043
6	19	487.905094	52.417185
6	20	548.460346	51.675228
6	21	512.391913	45.743978
6	22	618.542124	76.545498
6	23	558.109466	66.258384
6	24	582.397159	47.524522
6	25	644.436709	35.975240
6	26	601.733594	45.242806
6	27	410.309002	31.538963
6	28	544.553010	36.589138
6	29	605.326513	38.152002
7	0	341.550532	175.614481
7	1	279.084561	176.450305
7	2	419.123901	176.903626
7	3	424.836984	177.704893
7	4	333.999485	174.891585
7	5	469.885016	177.237081
7	6	450.553846	176.846263
7	7	550.561933	177.758045
7	8	450.265918	167.309317
7	9	698.093297	174.688475
7	10	600.122271	162.118451
7	11	700.682637	173.705225
7	12	687.556812	175.182874
7	13	607.750026	156.860736
7	14	449.862545	178.748158
7	15	278.004546	174.840224
7	16	506.749527	177.980539
7	17	397.106361	176.414665
7	18	469.228100	177.908770
7	19	694.960755	177.494230
7	20	771.113383	178.938380
7	21	707.095040	178.803501
7	22	685.438885	174.005703
7	23	765.482272	178.524785
7	24	739.177446	178.691276
7	25	798.282637	174.946934
7	26	688.840028	173.521750
7	27	376.453201	177.220497
7	28	387.310999	176.851202
7	29	525.151493	176.921881
