0.223258, 0.004839, 0.087361, -1.993745, 0.148065, -1.601143
0.215195, 0.008413, 0.172441, -2.113080, 0.158998, -1.602739
0.239080, 0.006991, 0.208013, -2.383217, 0.150193, -1.647761
0.243682, 0.009802, 0.221194, -2.651257, 0.128648, -1.672483
0.290687, 0.014295, 0.220943, -2.743160, 0.109185, -1.663416
0.276355, 0.017798, 0.237077, -2.669930, -0.017850, -1.464944
0.243806, 0.085344, 0.176520, -2.638004, 0.046041, -1.209920
0.282743, 0.121450, 0.199472, -2.541474, 0.516725, -1.672518
0.300947, 0.119619, 0.210274, -2.709867, 0.764522, -1.944624
0.331302, 0.129684, 0.179547, -2.739300, 0.727767, -2.417743
0.318192, 0.224052, 0.183432, -2.657551, 0.400121, -2.342316
0.351301, 0.253144, 0.186339, -2.465903, 0.330189, -2.397324
0.370985, 0.219928, 0.138228, -2.298474, 0.164567, -2.420085
0.212336, 0.118246, 0.242220, -2.582923, 0.357386, -1.742000
0.224383, -0.049610, 0.213315, -2.492035, -0.535970, -0.954378
0.227829, -0.089614, 0.243848, -2.273475, -0.493137, -1.140178
0.283926, -0.139749, 0.240463, -2.501175, -0.514562, -0.696951
0.337689, -0.143374, 0.226816, -2.548499, -0.447966, -0.477640
0.356962, -0.141443, 0.245612, -2.377790, -0.487007, -0.526469
0.324714, -0.105169, 0.315065, -2.439319, -0.593003, -0.605350
0.386410, -0.272920, 0.214030, -2.731259, -0.563378, -0.431654
0.410550, -0.223799, 0.226445, -2.935073, -0.597418, -0.122676
0.425702, -0.124549, 0.264850, 2.845430, -0.687696, 0.917847
0.200170, -0.056143, 0.260883, -2.365622, -0.417979, -1.094915
0.309835, 0.101461, 0.259637, -2.631672, 0.683337, -2.204422
