variant,mode,removed,removed_group,base_median_mm,new_median_mm,improvement_mm,new_rms_mm,new_max_mm,suspected_reason
raw_all,leave_one_out,0,,42.929027844026464,41.31916230359468,1.6098655404317839,44.39231516503355,70.50198523405197,unknown
raw_all,leave_one_out,1,,42.929027844026464,44.37780964180483,-1.4487817977783664,44.43761841319838,70.38197987853627,unknown
raw_all,leave_one_out,2,,42.929027844026464,43.72870789794,-0.7996800539135336,44.00306929151872,69.94245493770998,unknown
raw_all,leave_one_out,3,,42.929027844026464,41.62828394812494,1.300743895901526,44.525836510111716,73.93219269109798,unknown
raw_all,leave_one_out,4,,42.929027844026464,41.843445949973905,1.0855818940525594,44.56721309358449,73.10338743893644,unknown
raw_all,leave_one_out,5,,42.929027844026464,41.73258586373526,1.1964419802912047,44.76367741263342,75.66499445742731,unknown
raw_all,leave_one_out,6,,42.929027844026464,41.32468417700206,1.604343667024402,44.05233637032931,72.14388713795061,geometric outlier
raw_all,leave_one_out,7,,42.929027844026464,41.195426486798546,1.7336013572279185,44.820361196775806,77.52575909926422,unknown
raw_all,leave_one_out,8,,42.929027844026464,41.26998990324632,1.659037940780145,44.20880394060801,74.71292841788207,unknown
raw_all,leave_one_out,9,,42.929027844026464,41.90930612235207,1.0197217216743937,45.104623229602225,74.15160582680282,unknown
raw_all,leave_one_out,10,,42.929027844026464,40.697660108766584,2.23136773525988,44.101279315077456,70.73047902249925,unknown
raw_all,leave_one_out,11,,42.929027844026464,40.838949449817356,2.090078394209108,44.496282033316,70.49659225108157,unknown
raw_all,leave_one_out,12,,42.929027844026464,43.63697240950689,-0.7079445654804246,44.79267002117459,70.16344730450905,unknown
raw_all,leave_one_out,13,,42.929027844026464,43.66993155404601,-0.7409037100195448,45.30639866481778,71.76489102161337,unknown
raw_all,leave_one_out,14,,42.929027844026464,41.0168373601693,1.9121904838571666,44.63405976179095,70.5383988647496,unknown
raw_all,leave_one_out,15,,42.929027844026464,44.04715389291669,-1.1181260488902254,45.034559111682896,70.40682828847822,unknown
raw_all,leave_one_out,16,,42.929027844026464,44.298877291568964,-1.3698494475424994,45.14830040201809,70.91191828123011,unknown
raw_all,leave_one_out,17,,42.929027844026464,43.666442584068754,-0.7374147400422899,44.47701665494451,70.3077422935683,unknown
raw_all,leave_one_out,18,,42.929027844026464,43.75382358844186,-0.8247957444153968,45.01265279833464,70.64647677777285,unknown
raw_all,leave_one_out,19,,42.929027844026464,43.4330357047808,-0.504007860754335,44.84135005716958,70.94272050706512,unknown
raw_all,leave_one_out,20,,42.929027844026464,43.628990082548036,-0.6999622385215716,44.717267513170604,70.57268313072179,unknown
raw_all,leave_one_out,21,,42.929027844026464,43.484575222822336,-0.5555473787958718,44.5749624028266,70.12294797336735,unknown
raw_all,leave_one_out,22,,42.929027844026464,43.16700330803857,-0.23797546401210923,44.46559957061818,71.2734221470853,unknown
raw_all,leave_one_out,23,,42.929027844026464,43.912856114641805,-0.9838282706153407,44.844857154052995,70.33999993503046,unknown
raw_all,leave_one_out,24,,42.929027844026464,43.581082017200146,-0.6520541731736813,44.81453845617352,70.85396482131792,unknown
raw_all,leave_one_out,25,,42.929027844026464,43.65060992902028,-0.7215820849938126,45.41144683816928,71.70271496529003,unknown
raw_all,leave_one_out,26,,42.929027844026464,44.10455555093118,-1.1755277069047168,44.672198701829025,72.35622676130534,unknown
raw_all,leave_one_out,27,,42.929027844026464,43.20820460040547,-0.27917675637900885,44.9586376218378,74.89495517226761,unknown
raw_all,leave_one_out,28,,42.929027844026464,43.487291729880745,-0.5582638858542808,45.16763731917272,75.17672041341531,geometric outlier
raw_all,leave_one_out,29,,42.929027844026464,43.15910637074694,-0.2300785267204759,45.82433049833173,73.83115843502343,unknown
raw_all,leave_one_out,30,,42.929027844026464,44.102497238979524,-1.1734693949530595,45.2205943196834,71.01180775207496,unknown
raw_all,leave_one_out,31,,42.929027844026464,41.187837997124575,1.7411898469018894,44.816344052046965,70.47249379735922,unknown
raw_all,leave_one_out,32,,42.929027844026464,42.718270638232504,0.21075720579396062,44.65617678918182,72.95237830918799,unknown
raw_all,leave_one_out,33,,42.929027844026464,41.434784206064535,1.4942436379619295,44.46674081482384,75.93657105985989,unknown
raw_all,drop_top_1_residual,6,,42.929027844026464,41.32468417700206,1.604343667024402,44.05233637032931,72.14388713795061,top residual group
raw_all,drop_top_2_residual,6 28,,42.929027844026464,41.15654080455724,1.772487039469226,44.37274123359161,70.58126188700432,top residual group
raw_all,drop_top_3_residual,6 28 33,,42.929027844026464,40.29764262655091,2.631385217475554,43.92162470366922,71.44633620043376,top residual group
raw_all,drop_top_4_residual,6 17 28 33,,42.929027844026464,40.26237479483315,2.6666530491933145,43.68344253551355,70.43715604304624,top residual group
raw_all,drop_top_5_residual,6 7 17 28 33,,42.929027844026464,37.87470006365757,5.054327780368894,43.175089962593894,71.03023653129686,top residual group
