variant,mode,removed,removed_group,base_median_mm,new_median_mm,improvement_mm,new_rms_mm,new_max_mm,suspected_reason
raw_all,leave_one_out,0,,31.093744916143375,33.237462515011536,-2.143717598868161,39.07281146278266,87.58362331569856,unknown
raw_all,leave_one_out,1,,31.093744916143375,33.17019889174919,-2.076453975605812,39.147658447396715,87.58568865089727,unknown
raw_all,leave_one_out,2,,31.093744916143375,33.44097447957364,-2.3472295634302647,39.04765485610807,87.40872505344329,unknown
raw_all,leave_one_out,3,,31.093744916143375,33.514482164969934,-2.4207372488265584,39.152039896677394,87.15048712326174,unknown
raw_all,leave_one_out,4,,31.093744916143375,33.61761472215461,-2.5238698060112377,38.998208763481934,86.67575181305972,unknown
raw_all,leave_one_out,5,,31.093744916143375,33.824389736252854,-2.730644820109479,39.23778616220233,86.49368530211852,unknown
raw_all,leave_one_out,6,,31.093744916143375,33.52401003212691,-2.4302651159835342,39.152671718870984,86.77691747123411,unknown
raw_all,leave_one_out,7,,31.093744916143375,33.557144597303534,-2.4633996811601584,39.102788054766336,86.51589547598185,unknown
raw_all,leave_one_out,8,,31.093744916143375,33.094479072038084,-2.0007341558947083,39.03456620947612,86.78181041372231,unknown
raw_all,leave_one_out,9,,31.093744916143375,33.08425109697539,-1.9905061808320177,39.024991399868625,86.89731330252096,unknown
raw_all,leave_one_out,10,,31.093744916143375,33.290284707875784,-2.196539791732409,38.89993168425632,87.05975361512715,unknown
raw_all,leave_one_out,11,,31.093744916143375,33.320943849138,-2.2271989329946216,38.99323251382097,87.37161689283548,unknown
raw_all,leave_one_out,12,,31.093744916143375,31.994552563770966,-0.900807647627591,39.10992539805603,86.28454063707271,unknown
raw_all,leave_one_out,13,,31.093744916143375,32.68379507815003,-1.5900501620066514,39.10634221888705,85.77224866274744,unknown
raw_all,leave_one_out,14,,31.093744916143375,32.79770632403302,-1.703961407889647,39.31643654011942,86.23511103943444,unknown
raw_all,leave_one_out,15,,31.093744916143375,32.37218144640009,-1.278436530256716,39.1634530223636,85.9679912038078,unknown
raw_all,leave_one_out,16,,31.093744916143375,31.901279067867137,-0.8075341517237611,37.783263669843585,86.86710354861096,geometric outlier
raw_all,leave_one_out,17,,31.093744916143375,31.606979438176914,-0.5132345220335388,37.180505948101775,87.9533561226214,geometric outlier
raw_all,leave_one_out,18,,31.093744916143375,33.979898974783886,-2.8861540586405106,38.932185995764925,84.06237340553965,unknown
raw_all,leave_one_out,19,,31.093744916143375,35.01964717596577,-3.925902259822397,38.72938873448802,84.79586248970521,unknown
raw_all,leave_one_out,20,,31.093744916143375,34.77002683176833,-3.6762819156249513,38.81518169074424,84.3940164895888,unknown
raw_all,leave_one_out,21,,31.093744916143375,31.992270562854202,-0.8985256467108265,38.78938719262183,86.53145977717439,unknown
raw_all,leave_one_out,22,,31.093744916143375,33.49494462390568,-2.4011997077623057,39.04702550383041,86.36473056870034,unknown
raw_all,leave_one_out,23,,31.093744916143375,32.12612861612118,-1.032383699977803,38.66751136139127,85.84452623315879,unknown
raw_all,leave_one_out,24,,31.093744916143375,32.06471693317278,-0.9709720170294069,38.8721179505205,85.44160213463313,unknown
raw_all,leave_one_out,25,,31.093744916143375,32.10989223632106,-1.0161473201776836,38.63553984489447,85.82150421508487,unknown
raw_all,leave_one_out,26,,31.093744916143375,31.941544632117612,-0.8477997159742365,38.96555918762861,85.60191811883607,unknown
raw_all,leave_one_out,27,,31.093744916143375,32.070388657657645,-0.9766437415142697,38.66017472278692,85.97523532187776,unknown
raw_all,leave_one_out,28,,31.093744916143375,33.63782495923626,-2.5440800430928867,38.996020536625835,86.6295032872703,unknown
raw_all,leave_one_out,29,,31.093744916143375,31.580684724581353,-0.48693980843797746,35.76861456189882,78.80170269951701,geometric outlier
raw_all,leave_one_out,30,,31.093744916143375,30.65745844131866,0.4362864748247155,38.32155780977972,92.1072050388259,unknown
raw_all,leave_one_out,31,,31.093744916143375,32.61019808247998,-1.516453166336607,38.817540055804265,88.9040752695817,unknown
raw_all,leave_one_out,32,,31.093744916143375,32.32234864190744,-1.2286037257640636,38.83652396224789,89.81776381972077,geometric outlier
raw_all,leave_one_out,33,,31.093744916143375,32.480043975340884,-1.3862990591975084,38.83692151017041,88.57197683703038,unknown
raw_all,leave_one_out,34,,31.093744916143375,31.752721246158053,-0.6589763300146778,38.65246847330732,86.45987305929044,unknown
raw_all,leave_one_out,35,,31.093744916143375,32.06122131466125,-0.9674763985178778,38.731090299629514,85.69120754546464,unknown
raw_all,leave_one_out,36,,31.093744916143375,32.81319537566037,-1.7194504595169953,38.34309961742665,86.154269637281,unknown
raw_all,drop_top_1_residual,29,,31.093744916143375,31.580684724581353,-0.48693980843797746,35.76861456189882,78.80170269951701,top residual group
raw_all,drop_top_2_residual,17 29,,31.093744916143375,29.89740466144266,1.196340254700715,33.794978208077445,80.40187957806619,top residual group
raw_all,drop_top_3_residual,16 17 29,,31.093744916143375,26.42892015680605,4.664824759337325,31.853437525735465,57.32838959722191,top residual group
raw_all,drop_top_4_residual,16 17 29 32,,31.093744916143375,26.44172822474939,4.652016691393985,31.288077543046523,59.2552578739309,top residual group
raw_all,drop_top_5_residual,13 16 17 29 32,,31.093744916143375,26.132254979520383,4.961489936622993,31.3878085633878,58.536786809416235,top residual group
raw_all,drop_index_group,0 1 2 3 4 5 6 7 8,group_0_0_8,31.093744916143375,35.96876593249651,-4.875021016353134,40.71683943695957,85.02199057524534,unknown
raw_all,drop_index_group,9 10 11 12 13 14 15,group_1_9_15,31.093744916143375,31.247573374371775,-0.15382845822839997,40.77506528055718,89.64327687220951,unknown
raw_all,drop_index_group,16 17 18 19 20 21 22 23 24,group_2_16_24,31.093744916143375,25.973465233028243,5.1202796831151325,34.618499134985264,73.36093234830616,unknown
raw_all,drop_index_group,25 26 27 28 29 30 31 32 33 34 35 36,group_3_25_36,31.093744916143375,19.033220349745797,12.060524566397579,27.429206025702918,54.44833571349055,possible cluster/tag movement
raw_250_350,leave_one_out,0,,33.979898974783886,34.23938165041673,-0.2594826756328459,39.19354553979786,84.68519788143625,unknown
raw_250_350,leave_one_out,1,,33.979898974783886,34.23304677356321,-0.2531477987793238,39.26958659936231,84.68021825787405,unknown
raw_250_350,leave_one_out,2,,33.979898974783886,34.35780548020794,-0.37790650542405047,39.171460301174484,84.51029093090612,unknown
raw_250_350,leave_one_out,3,,33.979898974783886,34.387777229577225,-0.4078782547933386,39.28401351356345,84.23754048579731,unknown
raw_250_350,leave_one_out,4,,33.979898974783886,34.719373757843,-0.7394747830591157,39.1303841493936,83.76694266523232,unknown
raw_250_350,leave_one_out,5,,33.979898974783886,34.455611397725534,-0.4757124229416476,39.387715307968925,83.57361095043755,unknown
raw_250_350,leave_one_out,6,,33.979898974783886,34.657428483607156,-0.6775295088232696,39.29061692900505,83.84994271970997,unknown
raw_250_350,leave_one_out,7,,33.979898974783886,34.71812702973024,-0.7382280549463545,39.247683034318236,83.60179690284615,unknown
raw_250_350,leave_one_out,8,,33.979898974783886,33.74975447558189,0.2301444992019981,39.18121180284852,83.9073639984358,unknown
raw_250_350,leave_one_out,9,,33.979898974783886,33.826439720715015,0.15345925406887062,39.1646092882568,84.01358668601881,unknown
raw_250_350,leave_one_out,10,,33.979898974783886,34.14866707631169,-0.16876810152780308,39.032792998124876,84.17433873283169,unknown
raw_250_350,leave_one_out,11,,33.979898974783886,34.17417121690333,-0.19427224211944605,39.12494357347955,84.46944401144745,unknown
raw_250_350,leave_one_out,12,,33.979898974783886,33.10169306134933,0.8782059134345559,39.29410949184076,83.36657483195101,unknown
raw_250_350,leave_one_out,13,,33.979898974783886,33.167951160949286,0.8119478138345997,39.306319639115564,82.83705414840979,unknown
raw_250_350,leave_one_out,14,,33.979898974783886,33.664361675463745,0.3155372993201411,39.49880034836519,83.28647692283376,unknown
raw_250_350,leave_one_out,15,,33.979898974783886,33.369957625029,0.6099413497548838,39.362340723817695,83.00183491031466,unknown
raw_250_350,leave_one_out,16,,33.979898974783886,33.83161489908508,0.14828407569880397,37.97384410152105,84.68366378471183,geometric outlier
raw_250_350,leave_one_out,17,,33.979898974783886,33.8547213156137,0.12517765917018409,37.324894316587894,84.78518713688501,geometric outlier
raw_250_350,leave_one_out,19,,33.979898974783886,36.03053019745055,-2.0506312226666665,38.78508196192438,81.35493347465426,unknown
raw_250_350,leave_one_out,20,,33.979898974783886,35.93294322286387,-1.9530442480799834,38.88310988717565,80.94808759111369,unknown
raw_250_350,leave_one_out,21,,33.979898974783886,34.081832925948525,-0.10193395116463932,38.91870944966131,83.54272881719494,unknown
raw_250_350,leave_one_out,22,,33.979898974783886,34.24972968297088,-0.2698307081869942,39.202144724105935,83.37703307506756,unknown
raw_250_350,leave_one_out,23,,33.979898974783886,34.215711214246774,-0.23581223946288787,38.78587886310144,82.84400312790027,unknown
raw_250_350,leave_one_out,24,,33.979898974783886,33.88939627236668,0.09050270241720426,39.02430035353187,82.43796687006503,unknown
raw_250_350,leave_one_out,25,,33.979898974783886,34.206908007985305,-0.22700903320141919,38.7446072456104,82.78154469111915,unknown
raw_250_350,leave_one_out,26,,33.979898974783886,33.97617702566405,0.003721949119835699,39.122746330527214,82.56215565486401,unknown
raw_250_350,leave_one_out,27,,33.979898974783886,34.30231521405163,-0.32241623926774565,38.75614145482709,82.86297239558944,unknown
raw_250_350,leave_one_out,28,,33.979898974783886,34.619257722052,-0.6393587472681119,39.14966233132705,83.56665763251752,unknown
raw_250_350,leave_one_out,29,,33.979898974783886,30.818283019755697,3.1616159550281893,35.956398948570204,78.81248168782572,geometric outlier
raw_250_350,leave_one_out,30,,33.979898974783886,30.97422495351835,3.0056740212655377,38.51131380424828,89.06900361159241,unknown
raw_250_350,leave_one_out,31,,33.979898974783886,33.90618701847385,0.07371195631003502,38.92948323883846,85.85143119728289,unknown
