group,count,trans_mean,trans_median,trans_rms,trans_max,rot_mean,rot_median,rot_max
group_0_0_8,9,22.990973584028804,23.278389180003032,23.456256445777328,30.00088407740242,4.464974292164943,4.703259638315321,6.272923467909205
group_1_9_15,7,29.388067937475903,31.093744916143375,31.65137721435754,45.990923722291164,3.175633833884788,2.86791966252025,4.237056335504162
group_2_16_24,9,44.63288839500288,40.06331022120747,47.793651968265756,77.73969042623584,5.427183792380235,5.497482889718827,11.738383222630315
group_3_25_36,12,40.9945253720941,39.84518613129433,43.95181405149617,86.99527637341288,4.973579131260906,4.848073796261581,11.227441356231127
