variant_name,detection_mode,distance_filter,pose_source,samples_total,samples_with_tag,samples_used_train,samples_used_val,excluded_by_distance,excluded_by_reprojection,train_trans_mean,train_trans_median,train_trans_rms,train_trans_max,val_trans_mean,val_trans_median,val_trans_rms,val_trans_max,train_rot_mean,train_rot_median,train_rot_max,val_rot_mean,val_rot_median,val_rot_max,offsets_deg,runtime_safe,recommended_for_runtime,hand_eye_json,not_recommended_reason
raw_all,raw,all,tcp_pose,34,34,23,11,0,0,39.35609705935663,39.71685984610714,41.32360446475031,64.84311054894053,39.94173152207822,39.62945529453877,42.60079666419685,66.92758917480943,4.65546080088294,4.389159988882824,9.292084635849612,6.734344974053601,7.825617888426358,10.51826799416931,,True,False,/home/yd/program/nyx/arx-difussion-deploy/umi-deploy/data_local/hand_eye_recalib_640/compare_variants/raw_all.json,not selected
raw_250_350,raw,250_350,tcp_pose,34,34,12,6,16,0,35.255498348138744,32.239334178335326,38.00513896883925,64.61786446791044,48.195259906536364,42.81997399315185,50.42717447959077,76.45256920132664,4.764022206512855,4.236012929216902,7.881405903043085,9.861587580095543,9.274712226930545,18.75895326838445,,True,False,/home/yd/program/nyx/arx-difussion-deploy/umi-deploy/data_local/hand_eye_recalib_640/compare_variants/raw_250_350.json,not selected
raw_300_350,raw,300_350,tcp_pose,34,34,8,4,22,0,44.28032554268195,42.280576931139706,45.264940195059786,59.54013054785731,58.1845440926365,58.66861798207135,60.417298297262725,79.9223708911585,4.204024925973136,4.561948519256029,5.091873549323797,6.36468836303501,7.397809201698598,7.870050998430495,,True,False,/home/yd/program/nyx/arx-difussion-deploy/umi-deploy/data_local/hand_eye_recalib_640/compare_variants/raw_300_350.json,not selected
rectified_250_350,rectified,250_350,tcp_pose,34,34,12,6,16,0,35.35849673147875,32.910210416077945,37.916628088386815,63.812519793971525,48.653870809233155,43.94147815497994,50.70602474200435,75.70595406625608,4.734393335430821,3.9759708092564474,7.79670988760406,9.720697321824243,9.247725715027904,17.825934040736016,,True,False,/home/yd/program/nyx/arx-difussion-deploy/umi-deploy/data_local/hand_eye_recalib_640/compare_variants/rectified_250_350.json,comparison variant; recommend only if validation hand-eye residual beats raw TCP variant
rectified_300_350,rectified,300_350,tcp_pose,34,34,8,4,22,0,43.8312464971477,41.14869125780464,44.62630596239982,56.89312606203034,58.01790933685629,58.658314226129306,60.061461065282714,78.48042973275558,4.124921667369762,4.414962130779085,5.14656942283113,6.346795163776984,7.356191538942925,7.729503783085982,,True,False,/home/yd/program/nyx/arx-difussion-deploy/umi-deploy/data_local/hand_eye_recalib_640/compare_variants/rectified_300_350.json,comparison variant; recommend only if validation hand-eye residual beats raw TCP variant
offset_300_350_bound5,raw,300_350,joint_state_corrected_fk,34,34,8,4,22,0,25.16727998432507,24.06246815968351,27.38312037877433,39.763313577488596,36.25947808796202,36.95762482230472,37.33993879487981,46.56292373961998,4.877264058526881,4.8977799314301365,8.489075058471016,7.732666884807319,7.254693994415042,12.199774374523768,"[2.44712, -1.908527, -5.0, -5.0, 5.0, -3.109205]",False,False,/home/yd/program/nyx/arx-difussion-deploy/umi-deploy/data_local/hand_eye_recalib_640/compare_variants/offset_300_350_bound5.json,diagnostic virtual joint offset variant; runtime TCP frame would not match
offset_250_350_bound5,raw,250_350,joint_state_corrected_fk,34,34,12,6,16,0,29.736210937977777,26.948041088839773,33.30956063234745,62.55580282731882,31.360780255446844,28.881738129481704,34.58658448484359,59.591588721736585,5.317825672756305,4.766038704656882,8.651297565602949,10.118821005565962,9.11128788097697,18.52131895702268,"[3.27873, -5.0, -5.0, -5.0, 0.186612, 3.932617]",False,False,/home/yd/program/nyx/arx-difussion-deploy/umi-deploy/data_local/hand_eye_recalib_640/compare_variants/offset_250_350_bound5.json,diagnostic virtual joint offset variant; runtime TCP frame would not match
rectified_offset_300_350_bound5,rectified,300_350,joint_state_corrected_fk,34,34,8,4,22,0,25.037093055716028,23.368287842243905,26.812678965425228,37.52829529522467,35.68482114961304,35.9800011870002,36.580373659478184,45.32994533754413,4.829030135215971,4.675868368613248,8.188704841536314,7.883452127791826,7.287711612334331,12.210339582523925,"[2.61297, -1.687528, -5.0, -5.0, 5.0, 4.270964]",False,False,/home/yd/program/nyx/arx-difussion-deploy/umi-deploy/data_local/hand_eye_recalib_640/compare_variants/rectified_offset_300_350_bound5.json,diagnostic virtual joint offset variant; runtime TCP frame would not match
