variant,mode,removed,removed_group,base_median_mm,new_median_mm,improvement_mm,new_rms_mm,new_max_mm,suspected_reason
raw_all,leave_one_out,0,,34.01236978367564,34.45929252892505,-0.44692274524940956,41.76050129472414,80.21736427480519,unknown
raw_all,leave_one_out,1,,34.01236978367564,35.05335208034049,-1.0409822966648505,41.705718207825484,78.87334609383977,unknown
raw_all,leave_one_out,2,,34.01236978367564,35.18588083499674,-1.1735110513210998,41.651765702685545,78.68563791948266,unknown
raw_all,leave_one_out,3,,34.01236978367564,34.07533428419676,-0.0629645005211188,41.567360621910574,78.24545110848078,unknown
raw_all,leave_one_out,4,,34.01236978367564,35.23072576662224,-1.2183559829466049,41.61680444559404,78.64081824266077,unknown
raw_all,leave_one_out,5,,34.01236978367564,35.31853324093197,-1.306163457256332,41.53620359679355,78.45431666801963,unknown
raw_all,leave_one_out,6,,34.01236978367564,35.49295050326597,-1.4805807195903355,41.518243999323275,78.57201749103146,unknown
raw_all,leave_one_out,7,,34.01236978367564,35.142963409233744,-1.130593625558106,41.64358421915468,78.7003075225139,unknown
raw_all,leave_one_out,8,,34.01236978367564,34.99609341070159,-0.9837236270259524,41.698572051719296,79.0868931771936,unknown
raw_all,leave_one_out,9,,34.01236978367564,34.41222847673733,-0.3998586930616952,41.70061391594949,79.84582354862107,unknown
raw_all,leave_one_out,10,,34.01236978367564,34.43735192544362,-0.424982141767984,41.72135192526177,79.789455581736,unknown
raw_all,leave_one_out,11,,34.01236978367564,34.38216687686024,-0.3697970931846015,41.75938773594703,79.8063411964893,unknown
raw_all,leave_one_out,12,,34.01236978367564,34.41329312434807,-0.40092334067243485,41.756478928048075,80.03602618356373,unknown
raw_all,leave_one_out,13,,34.01236978367564,34.49397019325481,-0.4816004095791726,41.67154183874634,79.43024603648163,unknown
raw_all,leave_one_out,14,,34.01236978367564,34.53029698668431,-0.517927203008675,41.62650541140695,79.44668032802737,unknown
raw_all,leave_one_out,15,,34.01236978367564,34.56809910904009,-0.5557293253644531,41.64060858756072,79.6123532021634,unknown
raw_all,leave_one_out,16,,34.01236978367564,34.16403204375191,-0.1516622600762716,41.67562527924625,79.97338079907817,unknown
raw_all,leave_one_out,17,,34.01236978367564,33.52049150833526,0.4918782753403761,41.421601579640836,81.69907515186314,geometric outlier
raw_all,leave_one_out,18,,34.01236978367564,33.30149134578508,0.7108784378905568,41.068653643031624,82.29707758374931,geometric outlier
raw_all,leave_one_out,19,,34.01236978367564,33.103196131321674,0.9091736523539637,40.598010468174245,79.4724497696674,geometric outlier
raw_all,leave_one_out,20,,34.01236978367564,33.15759700451704,0.8547727791586013,40.73979174071927,82.69941128599423,geometric outlier
