idx,z_mm,norm_mm,reproj,status,frame_robot_delta_ms,tcp_x,tcp_y,tcp_z,tcp_rx,tcp_ry,tcp_rz,ee_x,ee_y,ee_z,joint_state,trans_mm,rot_deg
0,330.59109331000167,331.7422480062968,0.5108550445527998,preferred,6.103515625,0.06248052780916891,0.003723585146037626,0.24915254591622732,2.6374730775972366,-2.4854225759638457,1.5279336535241856,0.06248052780916891,0.003723585146037626,0.24915254591622732,0.05588627 0.20466137 0.53501987 -0.79251575 -0.00896454 0.00209808,30.92946001602829,4.3023357286342465
1,321.9622105609365,335.28616579857015,1.2653789603441052,preferred,5.39398193359375,0.09606519520580027,0.003123211004845374,0.30761462085970703,2.5711166911468553,-2.488458911034531,1.0641961894763732,0.09606519520580027,0.003123211004845374,0.30761462085970703,0.02841949 0.60368538 0.86766624 -1.01377106 -0.01544952 0.00247955,23.19571132347403,5.481207343373662
2,321.333379593609,331.34953155129574,0.7692536056036029,preferred,6.0634613037109375,0.12820237736837978,0.006250820120985413,0.3350337159744444,2.581996886482499,-2.4576538307836917,0.9460649516103203,0.12820237736837978,0.006250820120985413,0.3350337159744444,0.04558659 0.80052662 1.03246403 -1.05382633 -0.01583099 0.00247955,27.47748262042912,5.484979411361751
3,306.487528255907,311.96741804322096,1.6121254097199256,preferred,6.348133087158203,0.18137449379618234,0.013095037354839894,0.35361255162849226,2.587480880639353,-2.408800230356822,0.8127424221661963,0.18137449379618234,0.013095037354839894,0.35361255162849226,0.07076359 1.05191898 1.21595287 -1.07442570 -0.00934601 0.00247955,35.30179689755871,6.175333503292009
4,280.05405484542024,283.8278602451696,1.963230433985863,contrast,4.397153854370117,0.20805235696182017,0.02190999156662022,0.336811007873533,2.6404211112837292,-2.371450522193935,0.7416186773551716,0.20805235696182017,0.02190999156662022,0.336811007873533,0.10166359 1.13813210 1.19420910 -0.99431610 -0.02689362 0.00324249,27.217497742183653,4.222804743619309
5,319.8517093610969,322.4716287192064,1.8667121665436606,preferred,4.9114227294921875,0.18754537112227102,0.019847055364398195,0.3663313993329803,2.6581664460807106,-2.3837836003357484,0.8083296146174719,0.18754537112227102,0.019847055364398195,0.3663313993329803,0.10166359 1.08777714 1.28194904 -1.08472538 -0.02803802 0.00286102,32.79975576505345,5.064614581857618
6,344.0033120449486,345.09789935164883,1.4541010961766694,preferred,2.7310848236083984,0.18463707208617486,0.019734550885061427,0.38937126619131657,2.6748044121950927,-2.39125635057035,0.8383138453750437,0.18463707208617486,0.019734550885061427,0.38937126619131657,0.10166359 1.10837746 1.38685417 -1.14270973 -0.03528690 0.00286102,32.66491619377975,5.350471003466051
7,315.306889341252,315.66215066025217,2.160937875016351,preferred,4.153251647949219,0.24197207410391527,0.025583678310914182,0.38486601579517693,2.6558804421900413,-2.377016564360137,0.7570821253544278,0.24197207410391527,0.025583678310914182,0.38486601579517693,0.10166359 1.31742573 1.50549316 -1.10875893 -0.03528690 0.00286102,26.871040595523525,3.1970290915225754
8,292.65093940304575,293.884800293268,2.697318879459042,contrast,2.324819564819336,0.27627750653395283,0.032787976060640225,0.37292935728398924,2.6551038529026667,-2.348579908975795,0.6845741601284184,0.27627750653395283,0.032787976060640225,0.37292935728398924,0.11501503 1.44254971 1.56462193 -1.09159184 -0.03414249 0.00324249,19.303237873984564,3.30839820971969
9,319.85292192631397,320.93154098387174,1.0524961904003542,preferred,5.077838897705078,0.1289531460051319,-0.05402289883598377,0.30584853427653813,3.040419032674915,-1.7289288180798275,1.3116921733026916,0.1289531460051319,-0.05402289883598377,0.30584853427653813,-0.48847961 0.78221607 0.87834740 -0.87109947 -0.53120422 -0.79747486,28.3422134141863,4.264251710248106
10,339.5502058792699,340.33641624736305,1.1885528039654538,preferred,6.219387054443359,0.13369925272410815,-0.05559183620382981,0.33293763876105903,3.0862501773055246,-1.6842719288023258,1.2158443228511213,0.13369925272410815,-0.05559183620382981,0.33293763876105903,-0.48275757 0.86423302 1.03093719 -1.00537872 -0.53196812 -0.84630394,25.413039032522125,3.783296841828436
11,294.13008938523933,294.46359360539435,1.6534975465135582,contrast,3.757476806640625,0.1621542800838456,-0.06929120510600147,0.29169103291590726,3.1100301145006344,-1.604583252675992,1.294942871766939,0.1621542800838456,-0.06929120510600147,0.29169103291590726,-0.47894287 0.92526913 0.86728477 -0.74063492 -0.55066013 -0.86842918,23.839335802436874,3.56268219274079
12,314.9968211015975,315.18904898434914,1.404390738701919,preferred,5.133390426635742,0.14814805811570342,-0.06201821785541107,0.3071036212623313,3.1108727965726293,-1.5572231894592128,1.3305257089621692,0.14814805811570342,-0.06201821785541107,0.3071036212623313,-0.47894287 0.86995506 0.90734005 -0.81960011 -0.55066013 -0.88750267,27.118015521828607,4.1709944957331375
13,308.025351734175,308.41746700483066,1.199956288110513,preferred,3.735780715942383,0.15635674440289604,-0.15237699478369984,0.25810681582246126,3.3812921209050133,-1.6158334881477288,1.143807845541672,0.15635674440289604,-0.15237699478369984,0.25810681582246126,-0.86614037 1.26630783 0.97905731 -1.00347137 -0.93938351 -1.40249443,27.008131238590124,2.1922019401311985
14,343.7722413146209,344.632101880303,1.1855748882042105,preferred,3.581523895263672,0.13964430947684522,-0.13828706089536127,0.3052296599093679,3.31934614703761,-1.6092760140923656,1.1142235882385711,0.13964430947684522,-0.13828706089536127,0.3052296599093679,-0.87987328 1.18734264 1.11905861 -1.21175671 -0.88025475 -1.41012478,29.76246329876944,1.7149805604697446
15,320.9706972188533,322.6238558381842,1.170598107494874,preferred,4.708290100097656,0.15391439729272127,-0.13848256661559052,0.28981424083337204,3.3714510325068194,-1.5382339353383438,1.063914714361816,0.15391439729272127,-0.13848256661559052,0.28981424083337204,-0.82570362 1.22014999 1.07900333 -1.13965797 -0.86423302 -1.40592766,31.0442188432199,1.5461979847426413
16,277.64355240027226,279.76841970601026,1.7517947297533314,contrast,5.837440490722656,0.19528414271649852,-0.13177204828271194,0.27335811067524995,3.431522734762372,-1.2936498500987512,0.9859965728412012,0.19528414271649852,-0.13177204828271194,0.27335811067524995,-0.66853619 1.30483723 1.07022953 -0.98020172 -0.77191544 -1.37235832,32.9313306377311,2.027519563345072
17,284.1238474058702,285.00399668512347,1.9068643564763532,contrast,4.06646728515625,0.29548599573098355,-0.1215117191785288,0.35640021872725014,3.381450720370357,-0.09648541796046982,0.8469758262747136,0.29548599573098355,-0.1215117191785288,0.35640021872725014,-0.42820644 1.67792034 1.76451492 -1.31628132 -0.50144958 -1.85378075,54.6249373122249,5.9819369790075605
18,307.6283585697434,308.4470768856966,1.3595604747800427,preferred,4.429340362548828,0.2716200062383086,-0.10065670691533161,0.37989684058596335,3.281682164717078,0.057705515844876425,0.9221114163226416,0.2716200062383086,-0.10065670691533161,0.37989684058596335,-0.39311028 1.56576633 1.73590469 -1.32009602 -0.45300198 -1.90070152,66.08837799287934,7.152735872671315
19,330.1168672895795,330.2169189162209,1.1782207693896558,preferred,2.8867721557617188,0.24603102380473052,-0.08329206826640424,0.39908667783533,3.2149979480333144,0.17992182173234028,1.030436375557512,0.24603102380473052,-0.08329206826640424,0.39908667783533,-0.36945915 1.45895290 1.70614910 -1.32047749 -0.45757961 -1.93389034,79.23355325262973,8.397855812107867
20,334.9739768164494,335.28367116709927,1.048047291394236,preferred,6.159067153930664,0.23493678254888484,-0.06846918362070417,0.4006840840016663,3.2048479396411786,0.29108118153124696,1.0514126956336984,0.23493678254888484,-0.06846918362070417,0.4006840840016663,-0.32978535 1.40325737 1.66380596 -1.32047749 -0.46330166 -1.95868587,75.83098844064476,8.30985883784547
21,264.408337304222,270.2122428190097,2.3469395423740846,contrast,4.036188125610352,0.346679092084086,-0.09882879326002658,0.3705476628813382,2.8900536813451394,1.1087693842981736,0.919852097018565,0.346679092084086,-0.09882879326002658,0.3705476628813382,-0.30613422 1.83699512 2.00827789 -1.32047749 -0.41714382 -2.51907349,55.30142349049329,10.947763792592719
22,301.85487379222167,319.4201684706484,1.7895859939439225,preferred,5.206823348999023,0.29885080294503524,-0.11696594777741054,0.41134366150906426,2.807822460837776,1.0055791730630137,1.130393771478599,0.29885080294503524,-0.11696594777741054,0.41134366150906426,-0.41142178 1.69928265 1.99225616 -1.32047749 -0.50831604 -2.52555847,73.41389531042375,11.590666825787594
23,292.51130266324134,309.7911120492561,1.218978637283135,preferred,5.374908447265625,0.32028140666658733,-0.013664231816845668,0.4233688110679278,-2.518197838075467,-2.1210202182882028,-0.9302709848909791,0.32028140666658733,-0.013664231816845668,0.4233688110679278,-0.05512333 1.70386028 2.05176640 -1.32085896 -0.15888500 -2.97684479,45.39478788669508,7.4937599870869205
24,282.49826895600177,298.564159300779,1.6775544179124908,contrast,4.254817962646484,0.32982860245848034,0.004315286363196641,0.4143118113465276,-2.417552610348843,-2.1596222844155637,-0.9150398592551708,0.32982860245848034,0.004315286363196641,0.4143118113465276,-0.00095367 1.73323441 2.05100346 -1.32047749 -0.18406200 -2.97608185,56.05844206609597,5.3110527994562435
25,315.0553468657236,319.0773757347184,1.157832041710573,preferred,3.0934810638427734,0.29197082935296026,0.001586881373955007,0.41300199850747615,-2.4783513092023397,-2.215147591742493,-0.8219964266690097,0.29197082935296026,0.001586881373955007,0.41300199850747615,-0.00362396 1.58560276 1.88658714 -1.32085896 -0.10471535 -3.00354767,54.898406830659425,7.026896624893475
26,332.23486655257506,337.27984827152244,0.6019292187869328,preferred,3.1337738037109375,0.27078397551688205,0.001682858074269709,0.4233927452143206,-2.470550559935083,-2.2480317764771853,-0.8779460262138273,0.27078397551688205,0.001682858074269709,0.4233927452143206,-0.00362396 1.51312256 1.85454369 -1.32085896 -0.10547829 -3.01880646,48.19522384617126,5.962903822092707
27,324.61314916884743,327.2722787728551,0.7020645980042945,preferred,6.104946136474609,0.2668041920509422,0.0014189615727300115,0.41310068736048905,-2.4763690281558555,-2.240595920237738,-0.8159006175924587,0.2668041920509422,0.0014189615727300115,0.41310068736048905,-0.00362396 1.49061584 1.79503345 -1.32047749 -0.09441566 -3.01842499,37.405441908663526,5.159439298531742
28,306.29181092108934,309.43671153117975,1.0302858993750017,preferred,6.004810333251953,0.12979145721730773,0.13859966905158586,0.28102444851587755,1.8899224428701167,-2.9455737046408927,1.0892149672723974,0.12979145721730773,0.13859966905158586,0.28102444851587755,0.90581322 1.11676979 0.98287201 -1.06107426 0.71698284 1.19344616,28.393611264836217,1.8541667586731965
29,287.8489847330886,289.1231450192726,1.2470601664992298,contrast,6.298065185546875,0.14881827675547535,0.14561962836946957,0.2676747859377821,1.85971557910479,-2.9451870944521263,1.149163692460609,0.14881827675547535,0.14561962836946957,0.2676747859377821,0.85584068 1.17551708 0.95731258 -0.94205379 0.73262405 1.14080238,29.87066108332839,2.258391661286664
30,347.00293194025915,347.00548591614586,0.9779231906581543,preferred,3.030538558959961,0.12583008999598347,0.12963961542996333,0.3244527846961277,1.8638756524877524,-3.0718477586807147,1.0846273617052875,0.12583008999598347,0.12963961542996333,0.3244527846961277,0.89284325 1.07785892 1.12249184 -1.13736916 0.72117996 1.18963146,33.0552747178113,1.756682683485993
31,323.9338157790019,324.26903778786254,1.183809994971911,preferred,6.369829177856445,0.1415691950635365,0.13587133587145434,0.30568223352617263,1.7889058274828065,-3.0686081535788556,1.145189814373581,0.1415691950635365,0.13587133587145434,0.30568223352617263,0.85202599 1.12401772 1.07022953 -1.05001163 0.74177933 1.18276501,31.628571797669153,1.8964618375583446
32,337.9289373597604,339.64630972332185,1.2038964885927546,preferred,6.117105484008789,0.17533537348854866,0.24181574159908553,0.28913227088667404,1.286695013897507,-3.208229806764172,1.2971596266834753,0.17533537348854866,0.24181574159908553,0.28913227088667404,1.00957489 1.64892769 1.45628262 -1.31704426 0.89589500 1.78816700,43.214424122371554,1.3403506371874876
33,320.50542598853474,321.97940390732015,1.3136688003907249,preferred,3.1201839447021484,0.1830020833361421,0.23402278540377722,0.2763844599717732,1.236376560279184,-3.155743894964452,1.3378011764726943,0.1830020833361421,0.23402278540377722,0.2763844599717732,0.97371674 1.65846539 1.41660976 -1.31704426 0.89742088 1.79198170,41.78099177002727,2.2159613554402284
34,306.57329662836344,309.02695002876607,1.3565404092365436,preferred,5.898952484130859,0.1876926958419165,0.23154135864538455,0.26076568657174476,1.2301182163677598,-3.078235905030872,1.403571345987388,0.1876926958419165,0.23154135864538455,0.26076568657174476,0.95693111 1.68478680 1.38189507 -1.31704426 0.91573238 1.79160023,42.88773108489643,2.690455751072303
35,298.24600429544336,300.4676119638562,1.3336137594916728,preferred,6.03795051574707,0.19260902494412785,0.22686626418180278,0.25593600714826237,1.1853974303224062,-3.071501040002127,1.370800176635498,0.19260902494412785,0.22686626418180278,0.25593600714826237,0.93289852 1.69012737 1.37045097 -1.31704426 0.88902855 1.79846668,40.645715685049524,3.441081130600447
36,344.93518500278947,347.0586640535789,1.0251027338701117,preferred,5.469083786010742,0.14706845991123824,0.19392704589416357,0.3033160604307195,1.3139259907251224,-3.2412293633354197,1.2647519709350161,0.14706845991123824,0.19392704589416357,0.3033160604307195,1.00270844 1.42156887 1.29224873 -1.31704426 0.88902855 1.74391556,31.053769409031283,2.760104546928284
37,316.90284431797187,339.1495722643848,1.4045465837020372,preferred,6.160497665405273,0.249488460969142,0.2684744000823829,0.3422138864736402,0.8806905803654174,-3.561911857522518,0.7293233619624864,0.249488460969142,0.2684744000823829,0.3422138864736402,0.86385155 1.86408043 1.92740536 -1.31895161 0.65098763 1.84271717,57.297404356868874,1.8258966870475277
38,313.023855212149,316.3661261259315,1.6552541511890322,preferred,5.213022232055664,0.23952330325149937,0.24652113489498312,0.3047866094048237,0.9183499757865607,-3.376816896079836,1.1255062033436585,0.23952330325149937,0.24652113489498312,0.3047866094048237,0.85278893 1.79922962 1.69661236 -1.31895161 0.80395985 1.82898426,41.45874881954975,2.5064899955362536
39,306.4829572168264,310.7656736113514,1.8022782828110784,preferred,5.134820938110352,0.22953079183909472,0.2305706155162772,0.2949148078024494,0.9215506071675018,-3.3111597391506877,1.2577243002716127,0.22953079183909472,0.2305706155162772,0.2949148078024494,0.84668541 1.74124527 1.58522129 -1.31895161 0.86194420 1.83051014,22.12637041556189,2.660518636131357
40,297.11222168920403,311.61017986464054,1.6160086830200076,preferred,4.623651504516602,0.26137194953348886,0.25636379547602134,0.33103812211366285,0.35567660826766406,-3.674452209162104,0.6441453293079598,0.26137194953348886,0.25636379547602134,0.33103812211366285,0.81731129 1.86484337 1.88696861 -1.31666279 0.64602852 2.10212135,19.5807803882392,4.0279106890257275
41,294.3629321512292,298.61627537849006,1.3844957590403033,contrast,6.345033645629883,0.26684499921424076,0.23709195736494504,0.319990873810206,0.315059971530992,-3.6246387355191483,0.8346824515879104,0.26684499921424076,0.23709195736494504,0.319990873810206,0.77267838 1.83623219 1.80571461 -1.31704426 0.71126080 2.08686161,18.287156415794076,3.880759116274301
42,252.38060174692905,265.7407001323028,1.9983941606451439,contrast,3.1464099884033203,0.3238757286067526,0.20734653926198876,0.3276191468983451,-0.40045140597215945,-3.7237221058652747,0.6073647749282559,0.3238757286067526,0.20734653926198876,0.3276191468983451,0.60940742 1.91405392 1.93083858 -1.24647141 0.65289497 2.27798080,42.066483832276305,6.105733559666079
43,292.70827536972,310.9560521662275,1.5108962587398682,preferred,2.945423126220703,0.29477315733656373,0.18805744898182258,0.3716616210122813,-0.4359632643762694,-3.785530858819625,0.5427632933424539,0.29477315733656373,0.18805744898182258,0.3716616210122813,0.61207771 1.79503345 1.94876766 -1.31170368 0.65747356 2.26958847,53.48317583682537,7.202349287817088
44,312.0089759306458,322.9713682447257,1.3194010436059613,preferred,5.339860916137695,0.2513895747572117,0.19487168699523263,0.37376042648685776,-0.4372570006186707,-3.8212044486386767,0.45047781079762345,0.2513895747572117,0.19487168699523263,0.37376042648685776,0.70897198 1.67448711 1.81639576 -1.31475544 0.67273235 2.36686516,49.391510843739425,8.1561446001746
45,324.8316969759451,336.31683655429646,1.1702624922503033,preferred,3.5164356231689453,0.2353231330846229,0.18148923241773823,0.38385766945401656,-0.4199067454415364,-3.8489867641471345,0.43743093239438385,0.2353231330846229,0.18148923241773823,0.38385766945401656,0.71049786 1.59666634 1.77061844 -1.31475544 0.68036175 2.34435844,48.68444146308717,7.577705129670714
46,255.2951188466686,286.1258280529533,2.397224024927176,contrast,2.718210220336914,0.32560380223832786,0.14992777896261653,0.36288318194331787,-0.8509946274629313,-3.793089409194772,0.39860596559018413,0.32560380223832786,0.14992777896261653,0.36288318194331787,0.47207642 1.76527786 1.85454369 -1.12211037 0.61245918 2.31040668,45.447285966053705,6.059622233669292
47,303.55878726753,306.5810990938271,1.471614407220512,preferred,4.411935806274414,0.2693445106472556,0.1009063355605224,0.39328158989985285,-1.2543338364603849,-3.4015406925001614,-0.2810546515915414,0.2693445106472556,0.1009063355605224,0.39328158989985285,0.37670708 1.55928135 1.78549671 -1.31971455 0.20923901 2.60299873,37.71315149993092,6.997575157266749
48,330.0133364259373,335.28861254709506,1.2351679093387324,preferred,5.390405654907227,0.2360969234076264,0.08861152194561729,0.4152829886852972,-1.2855737740629363,-3.4481889146710185,-0.40410468092308316,0.2360969234076264,0.08861152194561729,0.4152829886852972,0.37975883 1.43759060 1.75421524 -1.31971455 0.20809460 2.60338020,40.39994941084894,7.306501043940071
49,339.2524915432009,340.5913436664568,0.9153384487493474,preferred,5.963802337646484,0.2095505337744607,0.07798548859837842,0.39855099018420753,-1.2810310889918008,-3.424031189032478,-0.35185898339825744,0.2095505337744607,0.07798548859837842,0.39855099018420753,0.37975883 1.32009602 1.59628487 -1.31933308 0.20923901 2.60986519,31.744677077513646,6.462728250015888
50,315.3323876028609,332.73132280120774,1.5540375761740886,preferred,2.2399425506591797,0.2761025259956191,0.058033209974162954,0.43639823883133216,-1.8249782557448682,-3.0617733700960326,-0.7424358677479646,0.2761025259956191,0.058033209974162954,0.43639823883133216,0.21114635 1.56576633 1.95410824 -1.31666279 0.04444218 2.84218311,41.43090236478555,8.466796858223532
51,297.41740353921926,308.1294559051196,1.6528598240441754,preferred,6.224393844604492,0.2970600996994906,0.06264356253924816,0.4149659790233211,-1.7781691012995642,-3.046979764810062,-0.6319932293621122,0.2970600996994906,0.06264356253924816,0.4149659790233211,0.21114635 1.62947273 1.93884945 -1.31628132 0.03986454 2.82692432,34.01236978367564,7.237412913673062
52,275.5574822639511,285.446157571343,1.7687470001802845,contrast,5.971193313598633,0.3149951382160892,0.06821123143969084,0.39683932133109723,-1.712517579917045,-3.007749314625737,-0.5957675484876037,0.3149951382160892,0.06821123143969084,0.39683932133109723,0.21305370 1.69127178 1.93884945 -1.31628132 -0.00247955 2.81967640,32.21779021578374,7.0937425516866455
