group,count,trans_mean,trans_median,trans_rms,trans_max,rot_mean,rot_median,rot_max
group_0_0_8,9,28.417877669779454,27.47748262042912,28.817784174751445,35.30179689755871,4.731908179649657,5.064614581857618,6.175333503292009
group_1_9_15,7,27.503916735936198,27.118015521828607,27.598631460958078,31.0442188432199,3.0335151036991506,3.56268219274079,4.264251710248106
group_2_16_24,9,59.87530404331309,56.05844206609597,61.56785592378624,79.23355325262973,7.468127829988974,7.4937599870869205,11.590666825787594
group_3_25_52,28,38.51328650753748,40.522832547949236,39.76901302897059,57.297404356868874,4.711813672056063,4.593674993778735,8.466796858223532
