variant_name,aruco_source,image_mode,detection_mode,distance_filter,pose_source,samples_total,samples_with_tag,samples_used_train,samples_used_val,excluded_by_distance,excluded_by_reprojection,train_trans_mean,train_trans_median,train_trans_rms,train_trans_max,val_trans_mean,val_trans_median,val_trans_rms,val_trans_max,train_rot_mean,train_rot_median,train_rot_max,val_rot_mean,val_rot_median,val_rot_max,offsets_deg,runtime_safe,recommended_for_runtime,hand_eye_json,not_recommended_reason
raw_all,raw,raw,raw,all,tcp_pose,74,74,37,37,0,0,35.30447399564177,31.093744916143375,38.80083360493148,86.99527637341288,35.30447399564177,31.093744916143375,38.80083360493148,86.99527637341288,4.6200488965738105,4.597855900114174,11.738383222630315,4.6200488965738105,4.597855900114174,11.738383222630315,,True,False,/home/yd/program/nyx/arx-difussion-deploy/umi-deploy/data_local/hand_eye_recalib_640/compare_variants_v3_tighten_all37_selfcheck/raw_all.json,not selected
raw_250_350,raw,raw,raw,250_350,tcp_pose,74,74,36,36,2,0,35.37542322182771,33.979898974783886,38.932185995764925,84.06237340553965,35.37542322182771,33.979898974783886,38.932185995764925,84.06237340553965,4.5719586859294905,4.535142840462138,12.033241311768375,4.5719586859294905,4.535142840462138,12.033241311768375,,True,False,/home/yd/program/nyx/arx-difussion-deploy/umi-deploy/data_local/hand_eye_recalib_640/compare_variants_v3_tighten_all37_selfcheck/raw_250_350.json,not selected
raw_300_350,raw,raw,raw,300_350,tcp_pose,74,74,20,20,34,0,41.14390904050488,35.09826956645671,44.772305553270726,91.36945425103598,41.14390904050488,35.09826956645671,44.772305553270726,91.36945425103598,5.013259624352423,4.447684073136992,12.874523226337116,5.013259624352423,4.447684073136992,12.874523226337116,,True,False,/home/yd/program/nyx/arx-difussion-deploy/umi-deploy/data_local/hand_eye_recalib_640/compare_variants_v3_tighten_all37_selfcheck/raw_300_350.json,not selected
rectified_250_350,rectified,rectified,rectified,250_350,tcp_pose,74,74,36,36,2,0,35.293919135245126,33.71280040871116,38.9456522902317,87.33814191374007,35.293919135245126,33.71280040871116,38.9456522902317,87.33814191374007,4.558115512576689,4.388521645784493,11.913492000016955,4.558115512576689,4.388521645784493,11.913492000016955,,True,False,/home/yd/program/nyx/arx-difussion-deploy/umi-deploy/data_local/hand_eye_recalib_640/compare_variants_v3_tighten_all37_selfcheck/rectified_250_350.json,comparison variant; recommend only if validation hand-eye residual beats raw TCP variant
rectified_300_350,rectified,rectified,rectified,300_350,tcp_pose,74,74,20,20,34,0,41.433108382525894,34.654651546226305,45.19017580362932,90.57303730887958,41.433108382525894,34.654651546226305,45.19017580362932,90.57303730887958,5.05466492844525,4.690932063305253,12.75542479288774,5.05466492844525,4.690932063305253,12.75542479288774,,True,False,/home/yd/program/nyx/arx-difussion-deploy/umi-deploy/data_local/hand_eye_recalib_640/compare_variants_v3_tighten_all37_selfcheck/rectified_300_350.json,comparison variant; recommend only if validation hand-eye residual beats raw TCP variant
offset_300_350_bound5,raw,raw,raw,300_350,joint_state_corrected_fk,74,74,20,20,34,0,27.314195710859224,25.683555124555625,31.05063009527106,61.80468380810205,27.314195710859224,25.683555124555625,31.05063009527106,61.80468380810205,6.739188280157933,7.3234942189926056,9.405534301246362,6.739188280157933,7.3234942189926056,9.405534301246362,"[2.784404, 5.0, -5.0, -5.0, 0.797335, 1.835968]",False,False,/home/yd/program/nyx/arx-difussion-deploy/umi-deploy/data_local/hand_eye_recalib_640/compare_variants_v3_tighten_all37_selfcheck/offset_300_350_bound5.json,diagnostic virtual joint offset variant; runtime TCP frame would not match
offset_250_350_bound5,raw,raw,raw,250_350,joint_state_corrected_fk,74,74,36,36,2,0,25.265682969783057,20.46939547408441,29.403188154397245,74.27455472889339,25.265682969783057,20.46939547408441,29.403188154397245,74.27455472889339,5.264150717526366,5.062974939527798,9.844842086555284,5.264150717526366,5.062974939527798,9.844842086555284,"[2.738269, 5.0, -0.806899, -5.0, 2.608204, 4.756442]",False,False,/home/yd/program/nyx/arx-difussion-deploy/umi-deploy/data_local/hand_eye_recalib_640/compare_variants_v3_tighten_all37_selfcheck/offset_250_350_bound5.json,diagnostic virtual joint offset variant; runtime TCP frame would not match
rectified_offset_300_350_bound5,rectified,rectified,rectified,300_350,joint_state_corrected_fk,74,74,20,20,34,0,26.950670973877806,24.11701052032995,30.933162772593025,63.940426553336984,26.950670973877806,24.11701052032995,30.933162772593025,63.940426553336984,6.774298980151362,7.586219143005845,9.788155964585458,6.774298980151362,7.586219143005845,9.788155964585458,"[3.277763, 5.0, -5.0, -5.0, 1.003638, 3.931636]",False,False,/home/yd/program/nyx/arx-difussion-deploy/umi-deploy/data_local/hand_eye_recalib_640/compare_variants_v3_tighten_all37_selfcheck/rectified_offset_300_350_bound5.json,diagnostic virtual joint offset variant; runtime TCP frame would not match
