combo_id	tcp_pose_as	tx_gripper2camera_as	tx_base2world_as	trans_mean_mm	trans_median_mm	trans_rms_mm	trans_max_mm	rot_mean_deg	rot_median_deg	rot_rms_deg	rot_max_deg
0	T_base_tcp	T_camera_tcp	T_world_base	24.332933	24.355751	24.334360	24.813954	7.210191	7.216430	7.211510	7.378129
1	T_base_tcp	T_camera_tcp	T_base_world	510.995720	510.901716	510.996429	512.165560	178.000167	178.004729	178.000178	178.104237
2	T_base_tcp	T_tcp_camera	T_world_base	189.699030	189.691670	189.700042	190.703721	37.644373	37.614238	37.644633	37.995441
3	T_base_tcp	T_tcp_camera	T_base_world	455.308656	455.213260	455.308735	455.867206	175.784270	175.777809	175.784318	175.952680
4	T_tcp_base	T_camera_tcp	T_world_base	236.850769	236.941646	236.851055	237.220186	49.492073	49.411094	49.492547	49.843474
5	T_tcp_base	T_camera_tcp	T_base_world	318.085653	318.054072	318.087114	319.604126	174.942359	174.909199	174.942415	175.212372
6	T_tcp_base	T_tcp_camera	T_world_base	426.555943	426.640959	426.557120	427.827926	40.976904	40.955245	40.977578	41.261404
7	T_tcp_base	T_tcp_camera	T_base_world	378.549805	378.664809	378.551136	379.974729	175.780706	175.815754	175.780721	175.876717
