idx,host_time_before,host_time_after,host_timestamp,robot_timestamp,get_state_duration_ms,j1,j2,j3,j4,j5,j6,tcp_x,tcp_y,tcp_z,tcp_rx,tcp_ry,tcp_rz,ee_x,ee_y,ee_z,ee_roll,ee_pitch,ee_yaw
0,1778141763.8187814,1778141763.819426,1778141763.819426,3.672274,0.644683837890625,0.00247955322265625,0.00324249267578125,0.00743865966796875,-0.16727733612060547,-0.034142494201660156,-0.00476837158203125,0.0986142620028594,0.0011080200422453072,0.14927989394619634,2.5502906307164683,-2.4595066004950303,2.0862663939844146,0.0986142620028594,0.0011080200422453072,0.14927989394619634,0.0008409736398895064,0.162985528953177,0.03707960395787836
1,1778141763.8290021,1778141763.8298812,1778141763.8298812,3.682637,0.8790493011474609,0.00247955322265625,0.00324249267578125,0.00743865966796875,-0.16727733612060547,-0.034142494201660156,-0.00476837158203125,0.0986142620028594,0.0011080200422453072,0.14927989394619634,2.5502906307164683,-2.4595066004950303,2.0862663939844146,0.0986142620028594,0.0011080200422453072,0.14927989394619634,0.0008409736398895064,0.162985528953177,0.03707960395787836
2,1778141763.8388789,1778141763.8392675,1778141763.8392675,3.692994,0.3886222839355469,0.00247955322265625,0.00324249267578125,0.00743865966796875,-0.16727733612060547,-0.034142494201660156,-0.00476837158203125,0.0986142620028594,0.0011080200422453072,0.14927989394619634,2.5502906307164683,-2.4595066004950303,2.0862663939844146,0.0986142620028594,0.0011080200422453072,0.14927989394619634,0.0008409736398895064,0.162985528953177,0.03707960395787836
3,1778141763.8488827,1778141763.8496485,1778141763.8496485,3.703274,0.7658004760742188,0.00247955322265625,0.00324249267578125,0.00743865966796875,-0.16727733612060547,-0.034142494201660156,-0.00476837158203125,0.0986142620028594,0.0011080200422453072,0.14927989394619634,2.5502906307164683,-2.4595066004950303,2.0862663939844146,0.0986142620028594,0.0011080200422453072,0.14927989394619634,0.0008409736398895064,0.162985528953177,0.03707960395787836
4,1778141763.8588736,1778141763.8593304,1778141763.8593304,3.713597,0.45680999755859375,0.00247955322265625,0.00324249267578125,0.00743865966796875,-0.16727733612060547,-0.034142494201660156,-0.00476837158203125,0.0986142620028594,0.0011080200422453072,0.14927989394619634,2.5502906307164683,-2.4595066004950303,2.0862663939844146,0.0986142620028594,0.0011080200422453072,0.14927989394619634,0.0008409736398895064,0.162985528953177,0.03707960395787836
5,1778141763.8688803,1778141763.8692198,1778141763.8692198,3.721868,0.339508056640625,0.00247955322265625,0.00324249267578125,0.00743865966796875,-0.16727733612060547,-0.034142494201660156,-0.00476837158203125,0.0986142620028594,0.0011080200422453072,0.14927989394619634,2.5502906307164683,-2.4595066004950303,2.0862663939844146,0.0986142620028594,0.0011080200422453072,0.14927989394619634,0.0008409736398895064,0.162985528953177,0.03707960395787836
6,1778141763.8788795,1778141763.879281,1778141763.879281,3.732148,0.40149688720703125,0.00247955322265625,0.00324249267578125,0.00743865966796875,-0.16727733612060547,-0.034142494201660156,-0.00476837158203125,0.0986142620028594,0.0011080200422453072,0.14927989394619634,2.5502906307164683,-2.4595066004950303,2.0862663939844146,0.0986142620028594,0.0011080200422453072,0.14927989394619634,0.0008409736398895064,0.162985528953177,0.03707960395787836
7,1778141763.8888881,1778141763.8893104,1778141763.8893104,3.742431,0.4222393035888672,0.00247955322265625,0.00324249267578125,0.00743865966796875,-0.16727733612060547,-0.034142494201660156,-0.00476837158203125,0.0986142620028594,0.0011080200422453072,0.14927989394619634,2.5502906307164683,-2.4595066004950303,2.0862663939844146,0.0986142620028594,0.0011080200422453072,0.14927989394619634,0.0008409736398895064,0.162985528953177,0.03707960395787836
8,1778141763.8988855,1778141763.89935,1778141763.89935,3.752753,0.46443939208984375,0.00247955322265625,0.00324249267578125,0.00743865966796875,-0.16727733612060547,-0.034142494201660156,-0.00476837158203125,0.0986142620028594,0.0011080200422453072,0.14927989394619634,2.5502906307164683,-2.4595066004950303,2.0862663939844146,0.0986142620028594,0.0011080200422453072,0.14927989394619634,0.0008409736398895064,0.162985528953177,0.03707960395787836
9,1778141763.908867,1778141763.909749,1778141763.909749,3.763069,0.8821487426757812,0.00247955322265625,0.00324249267578125,0.00743865966796875,-0.16727733612060547,-0.034142494201660156,-0.00476837158203125,0.0986142620028594,0.0011080200422453072,0.14927989394619634,2.5502906307164683,-2.4595066004950303,2.0862663939844146,0.0986142620028594,0.0011080200422453072,0.14927989394619634,0.0008409736398895064,0.162985528953177,0.03707960395787836
